# unix_ms	channel	operation	detail	duration_ms	status
1776622431791	http	GET /api/roots		0.007	ok
1776622431808	http	GET /api/roots		0.004	ok
1776622431867	http	GET /api/roots		0.003	ok
1776622431873	http	GET /api/roots		0.003	ok
1776622431883	http	GET /api/roots		0.005	ok
1776622431886	http	GET /api/roots		0.003	ok
1776622433606	http	GET /api/roots		0.003	ok
1776622433612	http	GET /api/roots		0.003	ok
1776622433666	http	GET /api/roots		0.003	ok
1776622433668	http	GET /api/roots		0.002	ok
1776622435049	http	POST /api/login	user=admin	954.716	ok
1776622435050	http	GET /api/roots		0.003	ok
1776622435055	http	GET /api/roots		0.003	ok
1776622435088	ws	list	root_id=dir1 path=	3.527	ok
1776622435430	ws	list_tree	root_id=dir1	341.601	ok
1776622439507	ws	list	root_id=dir1 path=grpc-airflow	2.086	ok
1776622441625	ws	list	root_id=dir1 path=	0.541	ok
1776622443405	ws	list	root_id=dir1 path=grpc-airflow	1.994	ok
1776622450914	ws	list	root_id=dir2 path=	0.666	ok
1776622450914	ws	list_tree	root_id=dir2	0.259	ok
1776622453595	ws	list	root_id=dir1 path=	0.565	ok
1776622453762	ws	list_tree	root_id=dir1	166.243	ok
1776622478559	ws	list	root_id=dir1 path=grpc-airflow	2.117	ok
1776622479953	ws	list	root_id=dir1 path=grpc-airflow/.build	0.518	ok
1776622481041	ws	list	root_id=dir1 path=grpc-airflow	1.920	ok
1776622488402	ws	list	root_id=dir1 path=grpc-airflow/.git	1.126	ok
1776622603193	ws	list	root_id=dir1 path=	1.461	ok
1776622609146	ws	list	root_id=dir2 path=	0.917	ok
1776622609147	ws	list_tree	root_id=dir2	0.899	ok
1776622612361	ws	list	root_id=dir1 path=	0.652	ok
1776622612673	ws	list_tree	root_id=dir1	311.153	ok
1776622614507	ws	list	root_id=dir1 path=grpc-airflow	2.399	ok
1776622617646	ws	list	root_id=dir1 path=grpc-airflow/.output	0.655	ok
1776622618492	ws	list	root_id=dir1 path=grpc-airflow/.output/Macos-armv8-Debug	0.716	ok
1776622638562	ws	list	root_id=dir1 path=grpc-airflow/.output	0.472	ok
1776622639233	ws	list	root_id=dir1 path=grpc-airflow	1.375	ok
1776622640592	ws	list	root_id=dir1 path=	0.257	ok
1776622652302	http	GET /api/roots		0.004	ok
1776622652302	http	GET /api/roots		0.004	ok
1776622652315	http	GET /api/roots		0.005	ok
1776622652909	http	GET /api/roots		0.004	ok
1776622656289	http	GET /api/roots		0.004	ok
1776622656328	http	GET /api/roots		0.006	ok
1776622656381	http	GET /api/roots		0.017	ok
1776622656389	http	GET /api/roots		0.003	ok
1776622656905	http	GET /api/roots		0.004	ok
1776622660690	http	POST /api/login	user=admin	941.285	ok
1776622662828	http	GET /api/roots		0.003	ok
1776622662830	http	GET /api/roots		0.004	ok
1776622662853	http	GET /api/roots		0.004	ok
1776622662904	http	GET /api/roots		0.003	ok
1776622668154	http	POST /api/login	user=admin	932.756	ok
1776622677372	http	GET /api/roots		0.008	ok
1776622677373	http	GET /api/roots		0.018	ok
1776622677391	http	GET /api/roots		0.004	ok
1776622677392	http	GET /api/roots		0.002	ok
1776622677910	http	GET /api/roots		0.005	ok
1776622677913	http	GET /api/roots		0.003	ok
1776622685452	http	GET /api/roots		0.034	ok
1776622685456	http	GET /api/roots		0.003	ok
1776622685908	http	GET /api/roots		0.003	ok
1776622703872	http	GET /api/roots		0.003	ok
1776622703878	http	GET /api/roots		0.005	ok
1776622703906	http	GET /api/roots		0.005	ok
1776622719103	http	GET /api/roots		0.003	ok
1776622719118	http	GET /api/roots		0.003	ok
1776622719910	http	GET /api/roots		0.004	ok
1776622761156	http	GET /api/roots		0.009	ok
1776622761158	http	GET /api/roots		0.004	ok
1776622763467	http	POST /api/login	user=admin	936.259	ok
1776622763527	ws	list	root_id=dir1 path=	2.999	ok
1776622763832	ws	list_tree	root_id=dir1	304.845	ok
1776622763833	ws	list_tree	root_id=dir2	0.814	ok
1776622768868	ws	list	root_id=dir2 path=	0.648	ok
1776622770225	ws	list	root_id=dir1 path=	0.549	ok
1776622771970	ws	list	root_id=dir1 path=grpc-airflow	1.959	ok
1776622773824	ws	list	root_id=dir1 path=grpc-airflow/.git	1.494	ok
1776622777485	ws	list	root_id=dir1 path=grpc-airflow/.git/hooks	2.043	ok
1776622779965	ws	list	root_id=dir1 path=grpc-airflow/.git/logs	0.459	ok
1776622804258	ws	list	root_id=dir1 path=grpc-airflow	3.072	ok
1776622806417	ws	list	root_id=dir2 path=	0.539	ok
1776622852502	http	GET /api/roots		0.168	ok
1776622852508	http	GET /api/roots		0.003	ok
1776622852934	http	GET /api/roots		0.003	ok
1776622908366	http	GET /api/roots		0.141	ok
1776622908369	http	GET /api/roots		0.002	ok
1776622910437	http	POST /api/login	user=admin	938.900	ok
1776622910475	ws	list	root_id=dir1 path=	2.370	ok
1776622910632	ws	list_tree	root_id=dir1	156.306	ok
1776622910632	ws	list_tree	root_id=dir2	0.190	ok
1776622913530	ws	list	root_id=dir2 path=	0.354	ok
1776622918260	ws	begin_upload	root_id=dir2 path=File Manager Wireframes Standalone.html size=1772035	1.089	ok
1776622918298	ws	upload_chunk	transfer_id=4ad57a7e-3f7b-417a-9609-75aa3c34f8ca	0.164	ok
1776622918306	ws	upload_chunk	transfer_id=4ad57a7e-3f7b-417a-9609-75aa3c34f8ca	0.124	ok
1776622918307	ws	end_upload	transfer_id=4ad57a7e-3f7b-417a-9609-75aa3c34f8ca	0.660	ok
1776622918312	ws	list	root_id=dir2 path=	0.237	ok
1776622918327	ws	list_tree	root_id=dir2	0.232	ok
1776622918327	ws	list	root_id=dir2 path=	0.151	ok
1776622918348	ws	list_tree	root_id=dir2	0.206	ok
1776622918349	ws	list	root_id=dir2 path=	0.120	ok
1776622918349	ws	list_tree	root_id=dir2	0.102	ok
1776622918349	ws	list	root_id=dir2 path=	0.129	ok
1776622918349	ws	list_tree	root_id=dir2	0.095	ok
1776622918349	ws	list	root_id=dir2 path=	0.101	ok
1776622918349	ws	list_tree	root_id=dir2	0.092	ok
1776622918349	ws	list	root_id=dir2 path=	0.136	ok
1776622918350	ws	list_tree	root_id=dir2	0.185	ok
1776622918350	ws	list	root_id=dir2 path=	0.143	ok
1776622918350	ws	list_tree	root_id=dir2	0.103	ok
1776622918350	ws	list	root_id=dir2 path=	0.119	ok
1776622925966	http	POST /api/login	user=admin	932.107	ok
1776622925999	ws	list	root_id=dir1 path=	0.300	ok
1776622926131	ws	list_tree	root_id=dir1	132.352	ok
1776622926132	ws	list_tree	root_id=dir2	0.374	ok
1776622932033	ws	list	root_id=dir2 path=	0.829	ok
1776622936593	ws	remove	root_id=dir2 path=File Manager Wireframes Standalone.html	1.099	ok
1776622936639	ws	list	root_id=dir2 path=	0.373	ok
1776622936639	ws	list_tree	root_id=dir2	0.235	ok
1776622936640	ws	list_tree	root_id=dir2	0.172	ok
1776622936640	ws	list	root_id=dir2 path=	0.224	ok
1776622936640	ws	list	root_id=dir2 path=	0.236	ok
1776622936741	ws	list_tree	root_id=dir2	0.344	ok
1776622936742	ws	list	root_id=dir2 path=	0.259	ok
1776622936756	ws	list_tree	root_id=dir2	0.374	ok
1776622936756	ws	list	root_id=dir2 path=	0.217	ok
1776623000923	http	GET /api/roots		0.005	ok
1776623000926	http	GET /api/roots		0.003	ok
1776623003220	http	POST /api/login	user=admin	926.472	ok
